Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Afghanistan,AFG,30.86384711,31.09992947,32.77696058,34.85434433,36.12322954,37.41711819,38.9802585,39.72502338,40.60319519,42.11106665,43.36520706,44.99594928,46.8546893,48.48397651,50.27754473,51.87091057,53.20302961,54.71832789,56.3344817,58.04106067,59.90061635
Population density (people per sq. km of land area),EN.POP.DNST,Albania,ALB,112.7382117,111.685146,111.3507299,110.9348905,110.4722263,109.9082847,109.2170438,108.394781,107.5662044,106.8437591,106.314635,106.0290146,105.8540511,105.660292,105.4417518,105.135146,104.9671898,104.8706934,104.6122628,104.1675547,103.5711314
Population density (people per sq. km of land area),EN.POP.DNST,Algeria,DZA,12.97534282,13.15476122,13.33094082,13.50937466,13.69934838,13.90128603,14.11720255,14.35480615,14.61828789,14.90105763,15.19403293,15.49429241,15.80616104,16.12861647,16.46066783,16.80263681,17.15162186,17.503708,17.84620368,18.17769614,18.49156121
Population density (people per sq. km of land area),EN.POP.DNST,American Samoa,ASM,284.275,285.265,285.31,284.855,284.09,283.085,281.87,280.565,279.14,277.64,276.14,274.475,272.445,270.03,267.33,264.39,261.225,257.93,254.54,251.045,248.805
Population density (people per sq. km of land area),EN.POP.DNST,Andorra,AND,139.7553191,140.1106383,141.5021277,147.8425532,158.1382979,164.7255319,169.3297872,174.206383,177.6489362,178.4851064,171.7148936,165.4957447,163.4765957,159.987234,156.887234,153.5617021,153.5765957,156.9425532,159.9191489,162.7106383,164.6382979
Population density (people per sq. km of land area),EN.POP.DNST,Angola,AGO,12.9901893,13.43323013,13.89885217,14.39296703,14.91972648,15.47377958,16.05460736,16.66684928,17.30861875,17.97928371,18.6851889,19.42596615,20.19523061,20.98790407,21.78613058,22.58586508,23.40825379,24.25189621,25.10399856,25.96906393,26.8317414
Population density (people per sq. km of land area),EN.POP.DNST,Antigua and Barbuda,ATG,170.2545455,172.8840909,175.0727273,177.0090909,178.9068182,180.9340909,183.1909091,185.6909091,188.4363636,191.3022727,193.9090909,196.2090909,198.3181818,200.1454545,201.7386364,203.2022727,204.475,205.6090909,206.65,207.6454545,208.7409091
Population density (people per sq. km of land area),EN.POP.DNST,Argentina,ARG,13.59817298,13.7482963,13.89611136,14.04042182,14.18352682,14.33000778,14.4781159,14.62232222,14.77118271,14.92855639,15.08709207,15.24858862,15.40610044,15.55983871,15.72120737,15.88671424,16.04139051,16.18337992,16.31711374,16.43352554,16.51336651
Population density (people per sq. km of land area),EN.POP.DNST,Armenia,ARM,113.1401475,112.8134879,112.3919916,111.7843344,111.1661398,110.516333,109.8384264,109.14647,108.4334387,107.6923077,106.9476642,106.3540569,106.2205831,106.1468212,105.8587987,105.5356516,105.1036178,104.6505093,104.2852125,104.056902,105.0273766
Population density (people per sq. km of land area),EN.POP.DNST,Aruba,ABW,503.2666667,507.9944444,511.5222222,517.3777778,528.5444444,542.4166667,552.25,556.3888889,560.65,564.4666667,565.7666667,569.95,578.3888889,587.0833333,593.3722222,599.4777778,604.0388889,604.0833333,605.0444444,606.6833333,603.2611111
